competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7292706,3812070,608256,2868653,1,1024,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7314469,3828523,611328,2872114,1,1024,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7382090,3820476,668672,2888952,1,2048,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7326409,3825492,613376,2885343,1,2048,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7297347,3811581,607232,2875477,1,2048,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,8246125,3818005,611328,3813142,1,2048,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7294633,3814525,609280,2867997,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8046437,3901497,1177600,4123477,1,128,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8206149,3897870,1315840,4286295,1,128,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8576977,4447449,1135616,4108277,1,128,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8128745,4081555,1065984,4025973,1,128,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8339132,3892866,1249280,4424846,1,128,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8190139,3912910,1297408,4255224,1,256,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7877867,3903824,1013760,3952939,1,256,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7811950,3900330,923648,3888858,1,256,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7865645,3886642,995328,3956736,1,256,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8157108,4103681,1081344,4032451,1,256,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7925285,3913245,1025024,3990983,1,512,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7682373,3897042,804864,3764559,1,512,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7737551,3907023,859136,3809344,1,512,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7664214,3890570,785408,3752056,1,512,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7845401,3896925,970752,3926733,1,512,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8727825,4945827,803840,3760010,1,1024,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7609780,3885484,750592,3703466,1,1024,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8532802,3920988,583680,4590802,1,1024,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7627665,3914847,663552,3692039,1,1024,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7891125,3914918,962560,3954383,1,1024,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7675741,3904383,773120,3750935,1,2048,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,7391922,3905863,503808,3465240,1,2048,128
