competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Preprocessing,EMail-Enron,CSR,36692,36692,160,367662,58691660,52203052,5396864,3493913,1,5735,128
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,57630756,51199517,5351872,3481113,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58137473,51699914,5354112,3486063,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58269752,51786294,5388064,3497523,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58203043,51772195,5345664,3487193,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58491351,52021643,5399168,3473893,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58379702,51859114,5433952,3487453,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58223983,51763304,5372928,3488663,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,65695375,54593240,10012160,5815641,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,61323768,53534216,5379232,3769822,1,2048,1024
GPU-Dynamic,mouse-gene,CSR,45101,45101,256,14506196,1115579169,1048355621,55303712,14298629,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,58718920,52110163,5304224,3706301,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,57670935,51184867,5374144,3510812,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,57577136,54362942,836800,1332823,1,2048,1024
GPU-Thread-Dispatcher,chip,CSR,2987012,2987012,96,10342811,29383733157,302784604,29069807616,11314355,1,512,64
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,80042555,76995910,855808,2186999,1,2048,1024
GPU-Dynamic,EMail-Enron,CSR,36692,36692,160,367662,57107937,54735279,861632,1509142,1,2048,1024
