competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514897641,129722511,336508672,48620637,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514928097,129344041,336969408,48570927,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232698931,267,2232697662,1002,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2234692440,238,2234690947,1255,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2230909161,341,2230907756,1064,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2231274072,149,2231273210,713,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232367677,151,2232366718,808,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232680728,146,2232679629,953,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2231227127,132,2231226308,687,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2230222435,163,2230221666,606,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232249324,146,2232248476,702,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2231890629,146,2231889844,639,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232090625,160,2232089686,779,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2233019697,144,2233018944,609,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232384030,144,2232383268,618,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232752965,164,2232752177,624,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2233021339,142,2233020573,624,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2233186020,149,2233184910,961,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2232144806,155,2232143840,811,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2233629798,107,2233629071,620,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2231917621,173,2231916896,552,1
CPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,2233108523,143,2233107621,759,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2310849550,348,2310848341,861,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311117983,253,2311116986,744,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311122480,246,2311121209,1025,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311849465,170,2311848408,887,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311398409,155,2311397523,731,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311453528,460,2311452087,981,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2312369940,104,2312368982,854,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311876967,248,2311875857,862,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311202908,250,2311201864,794,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2310984753,248,2310983462,1043,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311659251,241,2311658051,959,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2310892504,457,2310891206,841,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311647323,155,2311646043,1125,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2312031871,151,2312030844,876,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2312171639,248,2312170161,1230,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2312054508,529,2312053127,852,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311626936,245,2311625572,1119,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311775894,327,2311774522,1045,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311531034,238,2311530116,680,1
CPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,2311834127,251,2311833011,865,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,2103044445,102595290,1767859177,232589978,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,2290804269,102037431,1957128688,231638150,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1874400927,101592500,1539799480,233008947,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1887167827,102095844,1552714007,232357976,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1853928366,101516584,1519036870,233374912,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1861815172,102159300,1527622098,232033774,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1861366234,101486557,1526669634,233210043,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1892200391,101935495,1558003212,232261684,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1868018120,101314851,1533448548,233254721,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1863765201,102120737,1529511046,232133418,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1883080124,101473769,1549008574,232597781,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1857436475,102001073,1517734805,237700597,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1853808538,101293601,1519155290,233359647,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1853200171,101783235,1519209636,232207300,1
CPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,1853553851,101328508,1518975422,233249921,1
